,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-130,1990,9.2,12,8,7,5,0,6,11,54.5,5,73,27,37,44,20,9,10,2,0,8,15,27,14,1,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-096,1997,8.7,5,2,1,3,1,0,3,0,3,113,26,23,8,49,56,7,2,0,5,2,7,11,0,Matches
3,Che Adams,eng ENG,FW,Southampton,24-177,1996,15,17,8,4,8,5,3,14,21.4,11,193,65,33.7,27,65,101,9,1,0,8,3,20,11,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-104,1997,11,16,10,14,2,0,7,10,70,3,51,14,27.5,40,10,1,9,6,0,3,12,28,69,0,Matches
5,Adrián,es ESP,GK,Liverpool,34-003,1987,2,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-218,1988,1.6,0,0,0,0,0,0,1,0,1,19,4,21.1,4,3,12,3,0,0,3,0,0,1,0,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-090,1996,12,21,11,13,6,2,7,15,46.7,8,98,25,25.5,53,36,9,17,3,0,14,19,40,43,0,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-214,2001,5.9,12,6,5,6,1,6,12,50,6,80,22,27.5,37,31,12,9,0,0,9,3,15,15,0,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-058,1993,16,37,26,27,8,2,9,18,50,9,186,77,41.4,125,52,9,33,19,1,14,15,52,65,1,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25-323,1995,5.2,5,2,3,1,1,2,2,100,0,29,11,37.9,9,14,6,4,1,0,3,3,8,14,0,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-049,1989,7.8,16,12,8,6,2,6,15,40,9,138,60,43.5,55,46,37,16,2,1,14,10,26,14,0,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-270,1991,2.7,6,6,2,4,0,3,6,50,3,35,11,31.4,6,21,8,3,0,0,3,4,10,3,0,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31-310,1989,10.9,19,6,12,7,0,9,13,69.2,4,93,28,30.1,65,28,0,22,14,0,8,1,20,70,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-091,1998,13.5,20,10,9,8,3,12,18,66.7,6,117,39,33.3,44,40,33,15,2,0,13,7,27,18,1,Matches
15,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-329,1992,10.8,24,12,7,14,3,3,20,15,17,175,51,29.1,77,70,28,21,5,0,16,13,37,19,0,Matches
16,Alisson,br BRA,GK,Liverpool,28-096,1992,14,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,Matches
17,Allan,br BRA,MF,Everton,29-364,1991,11.4,36,24,16,18,2,13,46,28.3,33,309,89,28.8,136,154,19,23,6,0,17,7,43,13,0,Matches
18,Dele Alli,eng ENG,"MF,FW",Tottenham,24-270,1996,0.9,2,1,2,0,0,1,1,100,0,38,7,18.4,6,17,15,0,0,0,0,1,3,1,0,Matches
19,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-331,1994,9.4,18,9,10,6,2,5,22,22.7,17,181,36,19.9,71,69,41,18,1,0,17,11,29,11,1,Matches
20,Marcos Alonso,es ESP,DF,Chelsea,30-009,1990,2.5,1,0,0,1,0,0,3,0,3,37,11,29.7,22,11,4,8,1,0,7,1,2,10,0,Matches
21,Steven Alzate,co COL,MF,Brighton,22-120,1998,5.8,12,10,8,2,2,2,5,40,3,98,36,36.7,32,44,22,13,1,0,12,3,15,2,1,Matches
22,Daniel Amartey,gh GHA,DF,Leicester City,26-016,1994,2.9,2,1,0,1,1,1,3,33.3,2,25,7,28,13,9,3,4,1,0,3,3,5,12,0,Matches
23,Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,20-114,2000,9.8,31,20,13,14,4,8,24,33.3,16,174,53,30.5,78,68,28,19,7,0,12,11,42,25,0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,24-220,1996,8.7,10,7,7,2,1,3,7,42.9,4,49,16,32.7,35,12,2,12,5,0,7,9,19,52,0,Matches
25,Felipe Anderson,br BRA,"FW,MF",West Ham,27-266,1993,0,1,1,0,1,0,0,2,0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
26,Michail Antonio,eng ENG,FW,West Ham,30-284,1990,6.4,3,2,0,3,0,0,4,0,4,87,28,32.2,1,39,47,4,2,0,2,3,6,2,0,Matches
27,Alphonse Areola,fr FRA,GK,Fulham,27-314,1993,14,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
28,Stuart Armstrong,sco SCO,MF,Southampton,28-282,1992,12.5,33,22,11,16,6,9,33,27.3,24,210,65,31,63,101,46,20,1,0,19,10,43,10,0,Matches
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-095,1994,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,Matches
30,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-202,1989,15,10,3,3,6,1,3,12,25,9,178,43,24.2,31,72,75,14,1,0,13,1,11,10,0,Matches
31,Serge Aurier,ci CIV,DF,Tottenham,28-013,1992,7.7,40,18,30,10,0,11,25,44,14,187,53,28.3,116,53,18,15,2,0,13,12,52,28,1,Matches
32,Charlie Austin,eng ENG,FW,West Brom,31-185,1989,1.5,3,2,1,1,1,1,1,100,0,23,7,30.4,5,8,10,0,0,0,0,2,5,4,0,Matches
33,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-117,1991,8.4,15,11,4,7,4,2,8,25,6,213,65,30.5,26,107,80,6,0,0,6,8,23,4,0,Matches
34,Luke Ayling,eng ENG,DF,Leeds United,29-134,1991,16.8,42,24,21,18,3,10,35,28.6,25,213,85,39.9,112,79,22,41,17,1,24,17,59,34,2,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,31-131,1989,6.6,11,6,3,6,2,4,7,57.1,3,96,33,34.4,42,37,17,19,3,0,16,4,15,20,1,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,26-269,1994,4.1,4,3,2,1,1,0,0,,0,26,9,34.6,13,13,0,7,6,0,1,13,17,18,0,Matches
37,Fabián Balbuena,py PAR,DF,West Ham,29-136,1991,12,22,13,18,4,0,9,18,50,9,118,41,34.7,76,41,1,22,4,0,18,12,34,81,1,Matches
38,George Baldock,eng ENG,DF,Sheffield Utd,27-303,1993,16,27,8,16,8,3,11,25,44,14,218,54,24.8,94,82,42,22,3,0,19,10,37,39,0,Matches
39,Gareth Bale,wal WAL,FW,Tottenham,31-174,1989,1.8,2,1,1,0,1,1,2,50,1,21,5,23.8,3,10,8,2,0,0,2,1,3,4,0,Matches
40,Patrick Bamford,eng ENG,FW,Leeds United,27-123,1993,16.2,15,9,3,6,6,4,14,28.6,10,230,67,29.1,16,101,113,9,4,0,5,4,19,19,0,Matches
41,Phil Bardsley,sco SCO,DF,Burnley,35-192,1985,3,6,4,5,1,0,2,4,50,2,37,9,24.3,15,19,3,3,0,0,3,3,9,13,0,Matches
42,Ross Barkley,eng ENG,MF,Chelsea,27-032,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20,2,2,1,0,0,0,0,0,0,0,0,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,27-032,1993,5,3,0,2,1,0,2,6,33.3,4,80,23,28.8,10,45,25,11,2,0,9,2,5,2,0,Matches
44,Ashley Barnes,eng ENG,FW,Burnley,31-068,1989,8.7,12,4,3,5,4,3,6,50,3,121,27,22.3,11,52,58,10,2,0,8,1,13,4,0,Matches
45,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-028,1997,13.2,12,6,5,2,5,3,10,30,7,139,43,30.9,34,56,49,14,3,0,11,12,24,7,0,Matches
46,Kyle Bartley,eng ENG,DF,West Brom,29-229,1991,8.3,7,2,6,1,0,3,10,30,7,59,16,27.1,37,20,2,20,10,1,10,3,10,57,0,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-170,1988,15.8,42,24,22,16,4,19,32,59.4,13,195,52,26.7,99,65,31,26,7,2,19,17,59,65,1,Matches
48,Michy Batshuayi,be BEL,FW,Crystal Palace,27-096,1993,4.8,2,2,1,1,0,1,6,16.7,5,56,13,23.2,5,28,23,9,1,0,8,2,4,4,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,24-269,1996,16,15,9,11,3,1,5,15,33.3,10,101,38,37.6,67,32,2,27,11,0,16,23,38,91,1,Matches
50,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-263,1997,2.9,8,7,3,5,0,2,6,33.3,4,53,15,28.3,7,30,16,9,1,0,8,3,11,3,0,Matches
51,Héctor Bellerín,es ESP,DF,Arsenal,25-293,1995,14.2,18,11,9,7,2,6,23,26.1,17,115,35,30.4,38,59,18,34,6,0,28,4,22,26,0,Matches
52,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-149,1995,4.4,10,7,4,6,0,3,8,37.5,5,81,24,29.6,24,42,15,6,0,0,6,5,15,2,0,Matches
53,Josh Benson,eng ENG,MF,Burnley,21-032,1999,2.8,7,5,4,1,2,3,7,42.9,4,30,10,33.3,11,15,4,3,1,0,2,1,8,1,0,Matches
54,Christian Benteke,be BEL,FW,Crystal Palace,30-034,1990,6,5,4,0,2,3,0,4,0,4,73,23,31.5,8,37,28,6,3,1,3,1,6,13,0,Matches
55,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-071,1990,2.7,2,1,0,2,0,1,5,20,4,17,3,17.6,4,11,2,3,0,0,3,0,2,1,0,Matches
56,Sander Berge,no NOR,MF,Sheffield Utd,22-327,1998,11.3,21,16,9,8,4,5,17,29.4,12,191,55,28.8,67,94,30,20,2,0,18,3,24,17,1,Matches
57,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-090,1997,7.6,8,4,4,2,2,3,17,17.6,14,147,30,20.4,41,57,49,9,1,0,8,5,13,4,0,Matches
58,Bernard,br BRA,"FW,MF",Everton,28-120,1992,3,4,3,1,1,2,2,7,28.6,5,46,10,21.7,15,19,12,7,0,0,7,4,8,1,0,Matches
59,Bernardo,br BRA,"MF,DF",Brighton,25-237,1995,1.3,4,2,4,0,0,1,1,100,0,15,6,40,8,2,5,2,0,0,2,0,4,1,0,Matches
60,Ryan Bertrand,eng ENG,DF,Southampton,31-154,1989,15.9,43,27,17,22,4,17,27,63,10,163,69,42.3,56,88,19,31,4,0,27,11,54,29,0,Matches
61,Yves Bissouma,ml MLI,MF,Brighton,24-129,1996,15.3,50,33,28,18,4,14,40,35,26,241,88,36.5,105,116,20,26,2,0,24,11,61,26,0,Matches
62,Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20-163,2000,1.4,5,2,2,3,0,2,7,28.6,5,44,9,20.5,23,11,10,8,1,0,7,2,7,1,0,Matches
63,Willy Boly,ci CIV,DF,Wolves,29-338,1991,12,22,13,17,5,0,9,20,45,11,79,21,26.6,50,26,3,17,6,0,11,12,34,61,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-017,1996,14.3,10,8,7,3,0,3,17,17.6,14,137,41,29.9,39,53,45,17,1,0,16,9,19,1,0,Matches
65,Robbie Brady,ie IRL,MF,Burnley,28-358,1992,6.8,12,8,7,2,3,4,22,18.2,18,119,29,24.4,40,56,23,18,0,0,18,5,17,11,1,Matches
66,Rhian Brewster,eng ENG,FW,Sheffield Utd,20-280,2000,6.7,5,2,1,2,2,0,7,0,7,108,29,26.9,3,51,54,9,2,0,7,2,7,1,0,Matches
67,Josh Brownhill,eng ENG,MF,Burnley,25-018,1995,14,32,18,8,18,6,7,27,25.9,20,230,69,30,62,131,37,32,9,1,23,27,59,23,0,Matches
68,Joe Bryan,eng ENG,"DF,FW",Fulham,27-111,1993,3.8,11,6,4,5,2,4,8,50,4,40,14,35,15,14,11,13,1,0,12,8,19,10,0,Matches
69,Kean Bryan,eng ENG,DF,Sheffield Utd,24-066,1996,1.7,3,1,2,1,0,1,3,33.3,2,20,5,25,11,8,1,5,3,0,2,4,7,8,0,Matches
70,Oliver Burke,sco SCO,FW,Sheffield Utd,23-274,1997,6.8,10,5,3,4,3,2,12,16.7,10,189,40,21.2,16,78,95,14,0,0,14,2,12,2,0,Matches
71,Dan Burn,eng ENG,DF,Brighton,28-242,1992,8.1,16,5,11,4,1,2,16,12.5,14,122,39,32,62,41,19,15,2,0,13,7,23,24,0,Matches
72,Oskar Buur,dk DEN,DF,Wolves,22-281,1998,0.2,0,0,0,0,0,0,1,0,1,5,0,0,3,0,2,0,0,0,0,0,0,0,0,Matches
73,Willy Caballero,ar ARG,GK,Chelsea,39-100,1981,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Gary Cahill,eng ENG,DF,Crystal Palace,35-018,1985,5,2,2,2,0,0,0,3,0,3,24,8,33.3,16,5,3,8,4,0,4,1,3,25,1,Matches
75,Tom Cairney,sco SCO,MF,Fulham,29-352,1991,8.4,5,4,1,2,2,0,3,0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,23-296,1997,15.6,8,7,0,3,5,0,4,0,4,159,57,35.8,9,63,87,15,6,0,9,4,12,9,0,Matches
77,João Cancelo,pt POR,"DF,MF",Manchester City,26-224,1994,11,35,17,19,13,3,16,36,44.4,20,135,37,27.4,49,55,31,15,2,0,13,20,55,15,0,Matches
78,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20-332,2000,2.6,7,5,6,0,1,5,10,50,5,42,12,28.6,15,18,9,3,1,0,2,0,7,0,0,Matches
79,Andy Carroll,eng ENG,FW,Newcastle Utd,32-000,1989,2.4,0,0,0,0,0,0,2,0,2,33,9,27.3,1,18,14,1,0,0,1,1,1,10,0,Matches
80,Matty Cash,eng ENG,DF,Aston Villa,23-152,1997,13.6,36,19,19,12,5,17,32,53.1,15,196,55,28.1,102,76,18,35,7,0,28,17,53,48,1,Matches
81,Timothy Castagne,be BEL,DF,Leicester City,25-032,1995,8.7,22,16,11,9,2,6,11,54.5,5,122,31,25.4,50,41,31,22,1,0,21,9,31,20,0,Matches
82,Ivan Cavaleiro,pt POR,FW,Fulham,27-080,1993,10.8,11,9,5,4,2,1,6,16.7,5,171,48,28.1,27,79,65,18,1,0,17,4,15,5,0,Matches
83,Edinson Cavani,uy URU,FW,Manchester Utd,33-327,1987,3.4,2,2,0,2,0,0,4,0,4,64,15,23.4,6,25,33,2,1,0,1,3,5,4,0,Matches
84,Dani Ceballos,es ESP,MF,Arsenal,24-152,1996,10.6,24,22,11,10,3,6,29,20.7,23,152,45,29.6,74,52,26,16,5,1,11,17,41,13,0,Matches
85,Ben Chilwell,eng ENG,DF,Chelsea,24-016,1996,13,29,19,11,14,4,9,22,40.9,13,146,51,34.9,54,66,26,31,3,0,28,12,41,31,0,Matches
86,Hamza Choudhury,eng ENG,MF,Leicester City,23-097,1997,0.8,3,0,3,0,0,1,1,100,0,11,3,27.3,7,4,0,1,0,0,1,1,4,0,0,Matches
87,Andreas Christensen,dk DEN,DF,Chelsea,24-271,1996,4.5,6,5,6,0,0,3,4,75,1,30,11,36.7,22,6,2,9,5,0,4,6,12,21,0,Matches
88,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-102,1989,8,10,4,5,3,2,0,1,0,1,68,20,29.4,45,18,5,21,5,0,16,6,16,36,0,Matches
89,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-276,1991,8.8,13,4,8,5,0,4,7,57.1,3,72,25,34.7,40,20,12,17,2,0,15,7,20,15,0,Matches
90,Conor Coady,eng ENG,DF,Wolves,27-316,1993,16,12,8,8,4,0,4,16,25,12,84,28,33.3,60,24,0,28,17,0,11,12,24,68,1,Matches
91,Séamus Coleman,ie IRL,DF,Everton,32-087,1988,6.3,13,11,8,4,1,6,14,42.9,8,71,20,28.2,43,18,10,12,2,0,10,2,15,15,0,Matches
92,Aaron Connolly,ie IRL,FW,Brighton,20-344,2000,6.5,5,4,1,3,1,1,4,25,3,88,30,34.1,5,39,44,3,1,0,2,0,5,0,0,Matches
93,Liam Cooper,sco SCO,DF,Leeds United,29-129,1991,10.8,33,21,23,10,0,18,30,60,12,134,57,42.5,81,49,4,17,11,0,6,15,48,48,0,Matches
94,Hélder Costa,pt POR,MF,Leeds United,26-360,1994,7.5,16,8,8,3,5,5,17,29.4,12,145,44,30.3,53,45,47,13,0,0,13,3,19,4,0,Matches
95,Vladimír Coufal,cz CZE,DF,West Ham,28-137,1992,12.9,43,23,34,8,1,26,45,57.8,19,160,44,27.5,88,45,27,35,2,0,33,10,53,45,1,Matches
96,Aaron Cresswell,eng ENG,DF,West Ham,31-022,1989,17,17,8,9,6,2,8,18,44.4,10,105,28,26.7,60,42,3,26,7,0,19,12,29,44,0,Matches
97,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-262,1991,16.9,50,33,30,16,4,20,52,38.5,32,242,92,38,112,103,27,28,0,0,28,24,74,24,1,Matches
98,Scott Dann,eng ENG,DF,Crystal Palace,33-327,1987,8,8,7,7,1,0,3,8,37.5,5,36,13,36.1,23,12,1,10,5,0,5,2,10,32,1,Matches
99,Karl Darlow,eng ENG,GK,Newcastle Utd,30-090,1990,16,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,1,1,0,Matches
100,Ben Davies,wal WAL,DF,Tottenham,27-257,1993,7.6,9,3,4,3,2,4,12,33.3,8,101,20,19.8,45,35,21,13,4,0,9,4,13,36,0,Matches
101,Tom Davies,eng ENG,"MF,DF",Everton,22-190,1998,4.7,10,10,5,5,0,1,12,8.3,11,83,31,37.3,39,33,11,10,3,0,7,9,19,4,0,Matches
102,Keinan Davis,eng ENG,FW,Aston Villa,22-328,1998,0.6,0,0,0,0,0,0,0,,0,3,2,66.7,0,1,2,0,0,0,0,0,0,1,0,Matches
103,Leif Davis,eng ENG,DF,Leeds United,20-360,2000,0.4,0,0,0,0,0,0,2,0,2,12,0,0,5,6,1,3,1,0,2,2,2,0,0,Matches
104,Craig Dawson,eng ENG,DF,West Ham,30-245,1990,2,1,1,1,0,0,0,1,0,1,5,3,60,4,1,0,2,0,0,2,1,2,14,0,Matches
105,Kevin De Bruyne,be BEL,MF,Manchester City,29-192,1991,13.2,19,15,3,10,6,6,30,20,24,195,64,32.8,20,87,88,15,2,0,13,5,24,4,0,Matches
106,Liam Delap,eng ENG,FW,Manchester City,17-333,2003,0.4,0,0,0,0,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
107,Fabian Delph,eng ENG,"MF,DF",Everton,31-046,1989,2.4,3,1,2,1,0,0,1,0,1,20,4,20,8,12,0,3,0,0,3,4,7,3,0,Matches
108,Leander Dendoncker,be BEL,MF,Wolves,25-266,1995,10.5,21,13,11,8,2,9,25,36,16,200,58,29,79,91,30,19,4,0,15,5,26,16,0,Matches
109,Ibrahima Diallo,fr FRA,MF,Southampton,21-304,1999,2.3,6,4,3,3,0,4,7,57.1,3,47,17,36.2,11,32,4,5,0,0,5,3,9,4,0,Matches
110,Grady Diangana,eng ENG,"MF,FW",West Brom,22-262,1998,11.9,29,16,18,5,6,12,29,41.4,17,267,54,20.2,128,84,55,26,1,0,25,13,42,4,0,Matches
111,Raphael Dias Belloli,br BRA,MF,Leeds United,24-023,1996,9.3,10,4,3,6,1,3,22,13.6,19,133,39,29.3,30,50,53,12,0,0,12,8,18,11,0,Matches
112,Rúben Dias,pt POR,DF,Manchester City,23-237,1997,12.8,9,6,7,2,0,1,7,14.3,6,64,21,32.8,39,18,7,20,11,0,9,6,15,47,0,Matches
113,Eric Dier,eng ENG,DF,Tottenham,26-357,1994,15,9,4,5,3,1,5,9,55.6,4,66,20,30.3,45,18,3,22,16,0,6,10,19,100,0,Matches
114,Lucas Digne,fr FRA,DF,Everton,27-170,1993,7.8,16,7,12,4,0,5,15,33.3,10,112,27,24.1,52,40,20,18,2,0,16,0,16,27,0,Matches
