,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
114,Lucas Digne,fr FRA,DF,Everton,27-170,1993,7.8,0,3,0,0,0.39,0,0,,22.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
115,Virgil van Dijk,nl NED,DF,Liverpool,29-182,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
116,Issa Diop,fr FRA,DF,West Ham,23-363,1997,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
117,Moussa Djenepo,ml MLI,MF,Southampton,22-205,1998,7.7,1,9,2,22.2,1.16,0.26,0.11,0.5,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
118,Matt Doherty,ie IRL,DF,Tottenham,28-356,1992,7.8,0,1,1,100,0.13,0.13,0,0,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
119,Gabriel Dos Santos,br BRA,DF,Arsenal,23-018,1997,11.7,2,10,3,30,0.86,0.26,0.2,0.67,11,0,0,0,0.7,0.7,0.07,1.3,1.3,Matches
120,Abdoulaye Doucouré,fr FRA,MF,Everton,28-005,1993,15.1,1,13,4,30.8,0.86,0.27,0.08,0.25,17.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
121,Paul Dummett,wal WAL,DF,Newcastle Utd,29-102,1991,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
122,Lewis Dunk,eng ENG,DF,Brighton,29-046,1991,14,2,13,4,30.8,0.93,0.29,0.15,0.5,11.9,1,0,0,1.6,1.6,0.13,0.4,0.4,Matches
123,Jimmy Dunne,ie IRL,DF,Burnley,23-079,1997,2,1,3,1,33.3,1.5,0.5,0.33,1,8.4,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
124,Ederson,br BRA,GK,Manchester City,27-142,1993,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
125,Kyle Edwards,eng ENG,"MF,FW",West Brom,22-324,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
126,John Egan,ie IRL,DF,Sheffield Utd,28-078,1992,15.1,0,7,0,0,0.46,0,0,,10.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
127,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-119,1987,1.5,0,2,0,0,1.35,0,0,,13.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
128,Mohamed Elneny,eg EGY,MF,Arsenal,28-179,1992,9.7,0,4,0,0,0.41,0,0,,17.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
129,Jonny Evans,nir NIR,DF,Leicester City,33-003,1988,12.9,0,2,0,0,0.16,0,0,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
130,Eberechi Eze,eng ENG,MF,Crystal Palace,22-191,1998,10.7,2,16,7,43.8,1.5,0.65,0.13,0.29,20.3,2,0,0,1.1,1.1,0.07,0.9,0.9,Matches
131,?ukasz Fabia?ski,pl POL,GK,West Ham,35-263,1985,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
132,Fabinho,br BRA,"DF,MF",Liverpool,27-075,1993,14.4,0,3,0,0,0.21,0,0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
133,Bruno Fernandes,pt POR,MF,Manchester Utd,26-120,1994,14.4,11,45,16,35.6,3.12,1.11,0.13,0.38,22.6,5,5,6,8.2,3.6,0.08,2.8,2.4,Matches
134,Federico Fernández,ar ARG,DF,Newcastle Utd,31-320,1989,14.5,0,1,1,100,0.07,0.07,0,0,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
135,Fernandinho,br BRA,MF,Manchester City,35-247,1985,3.8,0,7,1,14.3,1.85,0.26,0,0,18.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
136,Sam Field,eng ENG,MF,West Brom,22-243,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
137,Roberto Firmino,br BRA,"FW,MF",Liverpool,29-096,1991,15.5,5,38,15,39.5,2.46,0.97,0.13,0.33,12.6,0,0,0,6,6,0.16,-1,-1,Matches
138,John Fleck,sco SCO,MF,Sheffield Utd,29-135,1991,8.7,0,7,1,14.3,0.8,0.11,0,0,21.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
139,Phil Foden,eng ENG,"FW,DF",Manchester City,20-223,2000,6.6,3,17,6,35.3,2.59,0.92,0.18,0.5,14.9,0,0,0,2,2,0.12,1,1,Matches
140,Wesley Fofana,fr FRA,DF,Leicester City,20-020,2000,12,0,6,0,0,0.5,0,0,,8.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
141,Pablo Fornals,es ESP,"MF,FW",West Ham,24-319,1996,14,2,24,7,29.2,1.71,0.5,0.08,0.29,14.2,0,0,0,3.7,3.7,0.15,-1.7,-1.7,Matches
142,Fraser Forster,eng ENG,GK,Southampton,32-295,1988,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
143,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-004,1998,0.9,0,1,0,0,1.13,0,0,,28.4,0,0,0,0,0,0.03,0,0,Matches
144,Ryan Fraser,sco SCO,MF,Newcastle Utd,26-317,1994,3.1,0,2,1,50,0.65,0.33,0,0,26.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
145,Fred,br BRA,MF,Manchester Utd,27-307,1993,10.1,0,8,1,12.5,0.79,0.1,0,0,21.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
146,Ryan Fredericks,eng ENG,DF,West Ham,28-088,1992,3.5,0,1,1,100,0.28,0.28,0,0,5.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
147,Christian Fuchs,at AUT,DF,Leicester City,34-274,1986,7.8,0,4,0,0,0.51,0,0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
148,Darnell Furlong,eng ENG,DF,West Brom,25-067,1995,15.8,1,13,3,23.1,0.83,0.19,0.08,0.33,13.6,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
149,Conor Gallagher,eng ENG,MF,West Brom,20-335,2000,12.9,2,18,5,27.8,1.4,0.39,0.11,0.4,21.7,0,0,0,0.9,0.9,0.05,1.1,1.1,Matches
150,Eric García,es ESP,DF,Manchester City,19-363,2001,2.2,0,1,0,0,0.45,0,0,,33,0,0,0,0,0,0.01,0,0,Matches
151,Dwight Gayle,eng ENG,FW,Newcastle Utd,30-081,1990,0.7,1,3,1,33.3,4.22,1.41,0.33,1,11.3,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
152,David de Gea,es ESP,GK,Manchester Utd,30-060,1990,13.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
153,Anwar El Ghazi,nl NED,FW,Aston Villa,25-248,1995,5.4,5,25,14,56,4.67,2.61,0.12,0.21,19.8,2,2,2,3.8,2.3,0.09,1.2,0.7,Matches
154,Kieran Gibbs,eng ENG,DF,West Brom,31-102,1989,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
155,Billy Gilmour,sco SCO,MF,Chelsea,19-209,2001,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
156,Olivier Giroud,fr FRA,FW,Chelsea,34-098,1986,4,3,15,4,26.7,3.74,1,0.2,0.75,9.5,0,0,0,2.6,2.6,0.18,0.4,0.4,Matches
157,Ben Godfrey,eng ENG,DF,Everton,22-357,1998,9.7,0,1,1,100,0.1,0.1,0,0,11,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
158,André Gomes,pt POR,MF,Everton,27-160,1993,6.1,0,4,0,0,0.65,0,0,,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
159,Joe Gomez,eng ENG,DF,Liverpool,23-228,1997,6.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
160,Anthony Gordon,eng ENG,"FW,MF",Everton,19-317,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
161,Karlan Grant,eng ENG,FW,West Brom,23-110,1997,9.5,1,15,8,53.3,1.58,0.84,0.07,0.13,14.7,1,0,0,2.1,2.1,0.14,-1.1,-1.1,Matches
162,Demarai Gray,eng ENG,FW,Leicester City,24-192,1996,0.2,0,1,0,0,4.74,0,0,,29,1,0,0,0,0,0.04,0,0,Matches
163,Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-118,1995,15,5,39,12,30.8,2.6,0.8,0.13,0.42,16.3,1,0,0,3.4,3.4,0.09,1.6,1.6,Matches
164,Mason Greenwood,eng ENG,FW,Manchester Utd,19-097,2001,6.9,1,19,5,26.3,2.76,0.73,0.05,0.2,17.7,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
165,Pascal Groß,de GER,MF,Brighton,29-205,1991,8,2,8,1,12.5,1,0.13,0,0,20.4,0,2,2,2.1,0.6,0.08,-0.1,-0.6,Matches
166,Kamil Grosicki,pl POL,"FW,MF",West Brom,32-212,1988,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
167,Vicente Guaita,es ESP,GK,Crystal Palace,33-362,1987,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
168,?lkay Gündo?an,de GER,MF,Manchester City,30-074,1990,8.2,3,14,5,35.7,1.71,0.61,0.21,0.6,16.1,1,0,0,1.6,1.6,0.11,1.4,1.4,Matches
169,Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16-292,2004,0.1,0,1,0,0,8.18,0,0,,12.1,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
170,Sébastien Haller,ci CIV,FW,West Ham,26-198,1994,10.4,3,24,11,45.8,2.31,1.06,0.13,0.27,9.3,0,0,0,2.8,2.8,0.12,0.2,0.2,Matches
171,Rekeem Harper,eng ENG,MF,West Brom,20-304,2000,0.4,0,1,1,100,2.81,2.81,0,0,23,0,0,0,0,0,0.04,0,0,Matches
172,Jack Harrison,eng ENG,MF,Leeds United,24-047,1996,14.5,3,23,6,26.1,1.58,0.41,0.13,0.5,16.2,1,0,0,2.9,2.9,0.13,0.1,0.1,Matches
173,Kortney Hause,eng ENG,DF,Aston Villa,25-174,1995,4,1,3,1,33.3,0.75,0.25,0.33,1,6.4,0,0,0,1.1,1.1,0.36,-0.1,-0.1,Matches
174,Kai Havertz,de GER,"MF,FW",Chelsea,21-209,1999,9.1,1,10,4,40,1.1,0.44,0.1,0.25,15.3,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
175,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25-290,1995,10.1,0,5,1,20,0.49,0.1,0,0,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
176,Michael Hector,jm JAM,DF,Fulham,28-171,1992,2.9,0,1,0,0,0.34,0,0,,10,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
177,Ahmed Hegazi,eg EGY,DF,West Brom,29-347,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
178,Dean Henderson,eng ENG,GK,Manchester Utd,23-300,1997,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
179,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30-203,1990,12.6,1,12,3,25,0.95,0.24,0.08,0.33,18.6,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
180,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28-341,1992,9.1,2,8,2,25,0.88,0.22,0.25,1,18.2,0,0,0,0.9,0.9,0.11,1.1,1.1,Matches
181,Pablo Hernández,es ESP,MF,Leeds United,35-270,1985,2.7,0,8,1,12.5,2.96,0.37,0,0,17.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
182,Son Heung-min,kr KOR,FW,Tottenham,28-182,1992,14.9,12,28,17,60.7,1.87,1.14,0.43,0.71,15,0,0,0,5.4,5.4,0.19,6.6,6.6,Matches
183,Ki-Jana Hoever,nl NED,DF,Wolves,18-354,2002,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
184,Rob Holding,eng ENG,DF,Arsenal,25-108,1995,13.5,0,9,2,22.2,0.67,0.15,0,0,13.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
185,Mason Holgate,eng ENG,DF,Everton,24-076,1996,6.9,1,4,2,50,0.58,0.29,0.25,0.5,11.8,0,0,0,0.7,0.7,0.19,0.3,0.3,Matches
186,Conor Hourihane,ie IRL,MF,Aston Villa,29-339,1991,2.5,1,5,2,40,2,0.8,0.2,0.5,21.3,1,0,0,0.5,0.5,0.1,0.5,0.5,Matches
187,Callum Hudson-Odoi,eng ENG,FW,Chelsea,20-060,2000,3.7,2,8,3,37.5,2.16,0.81,0.25,0.67,18.8,0,0,0,0.6,0.6,0.08,1.4,1.4,Matches
188,Pierre Højbjerg,dk DEN,MF,Tottenham,25-154,1995,16,0,6,2,33.3,0.37,0.12,0,0,26.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
189,Odion Ighalo,ng NGA,FW,Manchester Utd,31-204,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
190,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,24-095,1996,2.6,0,8,1,12.5,3.03,0.38,0,0,15.2,0,0,1,1.4,0.7,0.08,-1.4,-0.7,Matches
191,Danny Ings,eng ENG,FW,Southampton,28-167,1992,11.7,7,25,13,52,2.13,1.11,0.2,0.38,15.4,0,2,2,4.8,3.3,0.13,2.2,1.7,Matches
192,Branislav Ivanovi?,rs SRB,DF,West Brom,36-319,1984,8.2,0,4,1,25,0.49,0.12,0,0,6.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
193,Alex Iwobi,ng NGA,"FW,DF",Everton,24-248,1996,8.7,0,6,1,16.7,0.69,0.12,0,0,20.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
194,Phil Jagielka,eng ENG,"DF,MF",Sheffield Utd,38-142,1982,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
195,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,27-148,1993,2.8,0,11,2,18.2,3.91,0.71,0,0,15.2,0,0,0,1.1,1.1,0.1,-1.1,-1.1,Matches
196,Daniel James,wal WAL,FW,Manchester Utd,23-057,1997,3.6,1,10,4,40,2.78,1.11,0.1,0.25,18.4,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
197,Reece James,eng ENG,DF,Chelsea,21-029,1999,12,1,17,6,35.3,1.41,0.5,0.06,0.17,23.6,3,0,0,0.5,0.5,0.03,0.5,0.5,Matches
198,Gabriel Jesus,br BRA,FW,Manchester City,23-278,1997,7,2,13,4,30.8,1.86,0.57,0.15,0.5,11.2,0,0,0,1.8,1.8,0.14,0.2,0.2,Matches
199,Raúl Jiménez,mx MEX,FW,Wolves,29-246,1991,9.1,4,26,10,38.5,2.84,1.09,0.15,0.4,15.4,0,0,0,2.4,2.4,0.09,1.6,1.6,Matches
200,Joelinton,br BRA,"FW,MF",Newcastle Utd,24-145,1996,10.6,1,22,8,36.4,2.08,0.76,0.05,0.13,15.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
201,Ben Johnson,eng ENG,DF,West Ham,20-348,2000,1.6,1,1,1,100,0.62,0.62,1,1,10.2,0,0,0,0.3,0.3,0.33,0.7,0.7,Matches
202,Sam Johnstone,eng ENG,GK,West Brom,27-287,1993,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
203,Curtis Jones,eng ENG,MF,Liverpool,19-342,2001,7.5,0,9,5,55.6,1.21,0.67,0,0,18.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
204,Jorginho,it ITA,MF,Chelsea,29-017,1991,7.1,3,3,0,0,0.42,0,0,,33.4,0,3,5,3.9,0.1,0.03,-0.9,-0.1,Matches
205,Diogo Jota,pt POR,FW,Liverpool,24-033,1996,5.6,5,20,11,55,3.58,1.97,0.25,0.45,14.8,0,0,0,2.4,2.4,0.12,2.6,2.6,Matches
206,James Justin,eng ENG,DF,Leicester City,22-318,1998,17,1,5,1,20,0.29,0.06,0.2,1,21.2,0,0,0,0.5,0.5,0.1,0.5,0.5,Matches
207,Aboubakar Kamara,fr FRA,"FW,DF",Fulham,25-305,1995,3.1,0,3,1,33.3,0.96,0.32,0,0,18.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
208,Harry Kane,eng ENG,FW,Tottenham,27-162,1993,15.9,10,59,21,35.6,3.72,1.32,0.12,0.33,17.9,5,3,3,8.7,6.4,0.11,1.3,0.6,Matches
209,N'Golo Kanté,fr FRA,MF,Chelsea,29-283,1991,16.4,0,4,1,25,0.24,0.06,0,0,22,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
210,Moise Kean,it ITA,FW,Everton,20-313,2000,0.2,0,1,0,0,6,0,0,,23.1,0,0,0,0,0,0.03,0,0,Matches
211,Michael Keane,eng ENG,DF,Everton,27-361,1993,14.7,2,8,3,37.5,0.54,0.2,0.25,0.67,10.6,0,0,0,1,1,0.12,1,1,Matches
212,Neeskens Kebano,cd COD,"FW,MF",Fulham,28-302,1992,1.3,0,6,0,0,4.54,0,0,,18.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
213,Naby Keïta,gn GUI,MF,Liverpool,25-331,1995,4.4,0,7,1,14.3,1.59,0.23,0,0,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
214,Caoimhin Kelleher,ie IRL,GK,Liverpool,22-044,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
215,Jonjoe Kenny,eng ENG,DF,Everton,23-297,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
216,Max Kilman,eng ENG,DF,Wolves,23-228,1997,8.4,0,3,1,33.3,0.36,0.12,0,0,8.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
217,Mateusz Klich,pl POL,MF,Leeds United,30-207,1990,15.6,3,18,5,27.8,1.16,0.32,0.06,0.2,22,0,2,2,2.5,1,0.06,0.5,0,Matches
218,Robin Koch,de GER,DF,Leeds United,24-173,1996,10.1,0,7,2,28.6,0.69,0.2,0,0,9.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
219,Sead Kolašinac,ba BIH,DF,Arsenal,27-200,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
220,Ezri Konsa,eng ENG,DF,Aston Villa,23-075,1997,12.5,2,8,4,50,0.64,0.32,0.25,0.5,9.6,0,0,0,0.6,0.6,0.08,1.4,1.4,Matches
221,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,31-016,1989,16.7,1,7,2,28.6,0.42,0.12,0.14,0.5,9.6,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
222,Mateo Kova?i?,hr CRO,MF,Chelsea,26-245,1994,7.2,0,9,1,11.1,1.24,0.14,0,0,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
223,Emil Krafth,se SWE,DF,Newcastle Utd,26-157,1994,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
224,Filip Krovinovi?,hr CRO,MF,West Brom,25-130,1995,6.1,0,8,2,25,1.32,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
225,Alexandre Lacazette,fr FRA,FW,Arsenal,29-223,1991,9.6,7,23,15,65.2,2.4,1.56,0.26,0.4,11.7,1,1,1,5,4.3,0.19,2,1.7,Matches
226,Adam Lallana,eng ENG,"MF,FW",Brighton,32-241,1988,8.5,0,7,0,0,0.82,0,0,,17,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
227,Érik Lamela,ar ARG,FW,Tottenham,28-308,1992,2.2,0,8,3,37.5,3.65,1.37,0,0,17.7,3,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
228,Tariq Lamptey,eng ENG,DF,Brighton,20-098,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,12.1,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
